name,type,owner,quantity,location,hidden,price,thumbnail_ref,image_ref,tags,notes,bgg_id,year,weight,min_players,max_players,opt_players,min_playtime_minutes,max_playtime_minutes,rating,parent_game,system
Warhammer: Invasion,board_game,,1,,FALSE,40,,,asymmetric;engine-building;fantasy;sci-fi;war;medium,,47185,2009,2.74,2,2,,45,45,7.2,,
Cat Lady,board_game,,1,,FALSE,29,,,card-drafting;animals;family,,228504,2017,1.37,2,4,2,15,30,7,,
Cat in the Box: Deluxe Edition,board_game,,1,,FALSE,,,,trick-taking;science,,345972,2022,2.05,2,5,4,20,40,7.4,,
Hanamikoji,board_game,,1,,FALSE,17.34,,,,,158600,2013,1.67,2,2,,15,15,7.4,,
Trio,board_game,,1,,FALSE,,,,party;memory;family;recommended,,352515,2021,1.07,3,6,5,15,15,7.4,,
Long Shot: The Dice Game,board_game,,1,,FALSE,21.45,,,dice;roll-and-write;historical;family,,295374,2022,1.95,1,8,5,25,25,7.5,,
Letter Jam,board_game,,1,,FALSE,15,,,cooperative;word;family;recommended,,275467,2019,1.97,2,6,6,45,45,7.1,,
Bloodbowl - Death Zone Season 1,,,1,,FALSE,23,,,,,,,,,,,,,,,
Bloodbowl - Death Zone Season 2,,,1,,FALSE,23,,,,,,,,,,,,,,,
Legions of Steel,board_game,,1,,FALSE,40,,,,,2091,1992,2.94,2,5,2,180,180,7.3,,
Gipf,board_game,,1,,FALSE,25,,,,,527,1996,2.76,2,2,,30,60,7.1,,
Abalone,board_game,,1,,FALSE,39.91,,,abstract,,526,1987,2.15,2,2,,30,30,6.5,,
Go,board_game,,1,,FALSE,20,,,abstract,,188,-2200,3.92,2,2,,30,180,7.7,,
Imperium,board_game,,1,,FALSE,14.97,,,sci-fi;space,,3661,1977,2.61,2,2,,180,300,6.9,,
Turing Machine,board_game,,1,,FALSE,37,,,puzzle,,356123,2022,2.53,1,4,1,20,20,7.6,,
Azul,board_game,,1,,FALSE,50,,,pattern-building,,230802,2017,1.77,2,4,2,30,45,7.7,,
Carcassone,board_game,,1,,FALSE,21.99,,,tile-laying;worker-placement;medieval;family;recommended,,822,2000,1.88,2,5,2,30,45,7.4,,
Mikado,board_game,,1,,FALSE,15,,,abstract,,6424,1850,1.06,2,6,3,10,30,4.4,,
Kingdomino,board_game,,1,,FALSE,20,,,tile-laying;medieval;family,,204583,2016,1.24,2,4,4,15,25,7.3,,
Mafia de Cubia,board_game,,1,,FALSE,25,,,social-deduction,,176558,2015,1.47,6,12,10,10,20,6.5,,
Cascadia,board_game,,1,,FALSE,28.88,,,,,295947,2021,1.84,1,4,3,30,45,7.9,,
Feed the Kraken,board_game,,1,,FALSE,55.43,,,negotiation;social-deduction;fantasy;pirates,,271601,2022,2.18,6,11,11,45,90,7.8,,
Arcs,board_game,,1,,FALSE,57.79,,,sci-fi;space;heavy,,359871,2024,3.44,2,4,4,60,120,8,,
Pandemic,board_game,,1,,FALSE,20.38,,,cooperative,,30549,2008,2.39,2,4,4,45,45,7.5,,
Secret Hitler,board_game,,1,,FALSE,26.98,,,social-deduction;historical,,188834,2016,1.74,5,10,10,45,45,7.5,,
Catan,board_game,,1,,FALSE,40,,,resource-management;negotiation;medieval,,13,1995,2.28,3,4,4,60,120,7.1,,
Catan,board_game,,1,,FALSE,44.4,,,resource-management;negotiation;medieval,Old,13,1995,2.28,3,4,4,60,120,7.1,,
Catan: Seafarers,board_game,,1,,FALSE,44.4,,,resource-management;negotiation;medieval;pirates,Old,325,1997,2.37,3,4,4,90,90,7.2,Catan,
Catan: 5-6 Player Expansion,board_game,,1,,FALSE,19.94,,,resource-management;negotiation;medieval,Old,2807,1996,2.31,5,6,5,120,120,7,Catan,
Catan: 5-6 Player Expansion,board_game,,1,,FALSE,19.94,,,resource-management;negotiation;medieval,,2807,1996,2.31,5,6,5,120,120,7,Catan,
Axis and Allies,board_game,,1,,FALSE,73.59,,,historical;war;heavy,,98,1981,3.03,2,5,5,180,180,6.6,,
Jerusalem,board_game,,1,,FALSE,30,,,medieval,,63632,2010,2.91,2,4,4,90,90,6.7,,
Pirate's cove,board_game,,1,,FALSE,30,,,resource-management;pirates,,2987,2002,2.01,3,5,5,60,90,6.6,,
D. Afonso Henriques,board_game,,1,,FALSE,20,,,historical,,168900,2014,2,2,4,4,45,45,6.3,,
Dune: Imperium - Uprising,board_game,,1,,FALSE,68.95,,,sci-fi;heavy,,397598,2023,3.53,1,6,4,60,120,8.7,,
Dune: Imperium - Bloodlines,board_game,,1,,FALSE,39.99,,,sci-fi;heavy,,426129,2025,3.59,1,6,4,60,120,8.7,Dune: Imperium - Uprising,
Small World,board_game,,1,,FALSE,50,,,asymmetric;fantasy,,40692,2009,2.35,2,5,4,40,80,7.2,,
Heat: Pedal to the Metal,board_game,,1,,FALSE,53.07,,,racing;recommended,,366013,2022,2.2,1,6,6,30,60,8,,
Heat: Heavy Rain,board_game,,1,,FALSE,26.39,,,racing,,410291,2024,2.38,1,7,6,60,60,8.1,Heat: Pedal to the Metal,
Brass: Birmingham,board_game,,1,,FALSE,60,,,historical;heavy,,224517,2018,3.86,2,4,4,60,120,8.6,,
Photosynthesis,board_game,,1,,FALSE,43.99,,,nature,,218603,2017,2.27,2,4,3,30,60,6.9,,
Ragami,board_game,,1,,FALSE,20,,,fantasy,,114863,2012,2.63,2,4,4,90,90,5.9,,
Meadow,board_game,,1,,FALSE,33.92,,,animals,,314491,2021,2.25,1,4,2,60,90,7.7,,
Pipeline,board_game,,1,,FALSE,45,,,,,256730,2019,3.91,2,4,3,60,120,7.5,,
Memoir '44,board_game,,1,,FALSE,40,,,historical;war,,10630,2004,2.27,2,4,2,30,45,7.5,,
Hitler's war,board_game,,1,,FALSE,39.91,,,historical;war,,2168,1981,2.95,1,3,3,90,300,6.3,,
Nutri Ventures: The Boardgame,board_game,,1,,FALSE,10,,,,,165007,2014,,2,4,,40,40,,,
Nmbr 9,board_game,,1,,FALSE,19.99,,,puzzle,,217449,2017,1.22,1,4,4,20,20,6.8,,
Inferno,board_game,,1,,FALSE,30,,,,,2656,1996,2.78,2,5,2,120,120,5.2,,
Tsuro,board_game,,1,,FALSE,32.99,,,abstract,,16992,2005,1.22,2,8,6,15,20,6.7,,
BOOoop.,board_game,,1,,FALSE,20.31,,,abstract;animals,,383579,2023,1.44,2,2,,25,35,7.5,,
MindTrap,board_game,,1,,FALSE,29.94,,,,,1923,1991,1.94,2,16,6,60,60,4.8,,
Dominion,board_game,,1,,FALSE,50,,,Deck-building;recommended,,36218,2008,2.34,2,4,3,30,30,7.6,,
Cubitos,board_game,,1,,FALSE,47.48,,,deck-building;push-your-luck;recommended,,298069,2021,2.17,2,4,4,30,60,7.4,,
Wavelength,board_game,,1,,FALSE,45,,,party;word;family,,262543,2019,1.11,2,12,8,30,45,7.2,,
Ticket to Ride,board_game,,1,,FALSE,49.99,,,card-drafting;trains,,9209,2004,1.82,2,5,4,30,60,7.4,,
Cubitos: Fowl Play,board_game,,1,,FALSE,,,,deck-building;push-your-luck,,388568,2024,2.25,2,6,6,30,60,8,Cubitos,
Bloow Bowl,board_game,,1,,FALSE,,,,,,15985,2004,3.17,2,2,,120,120,7.9,,
Optimus,board_game,,1,,FALSE,,,,,,244522,2018,1.85,1,4,2,30,30,7.5,,
Pessoa,board_game,,1,,FALSE,,,,,,309728,2022,2.64,1,4,4,45,74,7.2,,
Tulip Bubble,board_game,,1,,FALSE,,,,historical,,229414,2015,2.44,3,5,5,50,70,7.1,,
Hues and Cues,board_game,,1,,FALSE,,,,word,,302520,2020,1.06,3,10,6,30,30,6.4,,
Forest Shuffle,board_game,,1,,FALSE,,,,nature,,391163,2023,2.22,2,5,2,40,60,7.7,,
Shinkansen: Zero-Kei,board_game,,1,,FALSE,,,,card-drafting,,339614,2021,2.64,1,4,3,60,60,7,,
Flip 7,board_game,,1,,FALSE,,,,push-your-luck,,420087,2024,1.04,3,18,6,20,20,7.2,,
The Mind,board_game,,1,,FALSE,,,,cooperative,,244992,2018,1.07,2,4,4,20,20,6.7,,
Junk Art,board_game,,1,,FALSE,,,,,,193042,2016,1.19,2,6,4,30,30,7.3,,
