name,type,owner,quantity,location,hidden,price,thumbnail_ref,image_ref,tags,notes,bgg_id,year,weight,min_players,max_players,opt_players,min_playtime_minutes,max_playtime_minutes,rating,parent_game,system
Nmbr 9,board_game,0,1,,FALSE,19.99,,,,,217449,2017,1.22,1,4,4,20,20,6.8,,
Inferno,board_game,0,1,,FALSE,30,,,,,,,,,,,,,,,
Tsuro,board_game,0,1,,FALSE,32.99,,,,,16992,2005,1.22,2,8,6,15,20,6.7,,
BOOoop.,board_game,0,1,,FALSE,20.31,,,,,383579,2023,1.44,2,2,2,25,35,7.5,,
MindTrap,board_game,0,1,,FALSE,29.94,,,,,1923,1991,1.94,2,16,6,60,60,4.8,,
Dominion,board_game,0,1,,FALSE,50,,,,,36218,2008,2.34,2,4,3,30,30,7.6,,
Cubitos,board_game,0,1,,FALSE,47.48,,,,,298069,2021,2.17,2,4,4,30,60,7.4,,
Wavelength,board_game,0,1,,FALSE,45,,,,,262543,2019,1.11,2,12,8,30,45,7.2,,
Ticket to Ride,board_game,0,1,,FALSE,49.99,,,,,9209,2004,1.82,2,5,4,30,60,7.4,,
Cubitos: Fowl Play,board_game,0,1,,FALSE,,,,,,388568,2024,2.25,2,6,6,30,60,8,Cubitos,
